index,corso_laurea,anno,post_unirsm,oggi_sei,soddisfazione,lavoro_design,occupazione,parole_chiavi,voto_unirsm,amore_trovato,amore_corrisposto,amore_oggi,figli,quanti_figli
155,Magistrale,2016,Non ho proseguito gli studi,Libero professionista,,Si,Editoria; Video e multimedia,"Interdisciplinarietà, curiosità, metodo",5,No,No,No,No,
156,Triennale,2007,Magistrale Iuav Venezia,Disoccupato,,Attualmente non sto lavorando,Progettazione di interni; Allestimento,Gioielli,10,No,No,No,No,
157,Triennale,2009,Non ho proseguito gli studi,Libero professionista,7,No,Project mangement; Progettazione architettonica,,5,No,No,No,No,
158,Triennale,2006,Magistrale (non Unirsm),Dipendente,5,Si,Illustrazione; Marketing e Advertising,"Branding, piccola realtà, coerenza",6,Si,No,No,No,
159,Triennale,2006,Magistrale (non Unirsm),Dipendente,8,Si,Editoria; Art direction,"ricerca, confronto, metodo",10,No,,,No,
160,Triennale,2007,Non ho proseguito gli studi,Dipendente,9,No,Illustrazione; Textile design,,9,No,No,No,No,
161,Entrambe,2009,Non ho proseguito gli studi,Libero professionista,8,Si,Progettazione di interni; Allestimento,"Ricerca, funzione, estetica ",8,No,,,No,
162,Triennale,2008,Non ho proseguito gli studi,Dipendente,9,Si,Interaction design; Service design,"Olistica, sensibile, dinamica",7,No,No,No,No,
163,Entrambe,2011,Non ho proseguito gli studi,Dipendente,9,Si,Interaction design; Project mangement,"metodo, curiosità, determinazione",8,No,No,No,No,
164,Triennale,2008,Non ho proseguito gli studi,Dipendente,10,Si,Progettazione di interni; Allestimento,,10,No,No,No,No,
165,Triennale,2014,Magistrale (non Unirsm),Sto ancora studiando,,Attualmente non sto lavorando,Editoria; Attualmente non sto lavorando,,8,No,No,No,No,
166,Triennale,2008,Non ho proseguito gli studi,Dipendente e libero professionista,7,Si,Design engineering; Service design,,7,,,,No,
167,Triennale,2012,Magistrale (non Unirsm),Libero professionista,8,Si,Project mangement; Product e service design,"innovazione, futuro, sostenibilità",10,No,No,No,No,
168,Triennale,2008,Ricerca,Dipendente,8,Si,Art direction; Branding,"Ricerca, Strategia, Metodo",9,No,No,No,No,
169,Entrambe,2007,Non ho proseguito gli studi,Dipendente,7,Si,Interaction design; Service design,"User experience, etica, comunicazione",10,No,,,No,
170,Triennale,2008,Non ho proseguito gli studi,Dipendente,8,Si,Editoria; Marketing e Advertising,"curiosità, flessibilità, aggiornamento costante",6,No,No,No,No,
171,Triennale,2008,Magistrale (non Unirsm),Dipendente,9,Si,Ricerca e sviluppo in azienda; Design del prodotto,"Design occhiali, color design",10,No,No,No,No,
172,Triennale,2008,Non ho proseguito gli studi,Dipendente,8,Si,Progettazione di interni; Allestimento,Progettazione industria artigianato,10,No,No,No,No,
173,Triennale,2012,Non ho proseguito gli studi,Dipendente,9,Si,Marketing e Advertising; Sviluppo web e app,,9,No,No,No,No,
174,Triennale,2008,Magistrale (non Unirsm),Libero professionista,7,Si,Ricerca e sviluppo in azienda; Scuola e formazione,,9,,,,,
175,Triennale,2011,Non ho proseguito gli studi,Dipendente,7,Si,Marketing e Advertising; Social media management,"Apertura mentale, coraggio, flessibilità",10,No,No,No,No,
176,Triennale,2012,Master,Dipendente,7,Si,Marketing e Advertising; Art direction,"Creatività, management, visione 360",5,No,,,,
177,Triennale,2006,Magistrale (non Unirsm); Dottorato,Libero professionista,10,Si,Ricerca in Università; Scuola e formazione,"Pazienza, curiosità, entusiasmo",10,No,No,No,No,
178,Triennale,2010,Magistrale (non Unirsm),Borsista,7,Si,Marketing e Advertising; Sviluppo web e app,"precisione, metodo, fantasia",7,No,No,No,No,
